1	a01	8.1472	1.5494
2	a01	9.3008	4.6577
3	a01	8.9983	8.1966
4	a01	9.7197	34.811
5	a01	7.7219	45.2522
6	a01	13.7519	71.9613
7	a01	16.5253	73.2383
8	a01	16.8038	75.507
9	a01	20.7009	79.3243
10	a01	14.0138	78.9175
11	a01	8.967	77.4259
12	a01	6.9359	86.4814
13	a01	6.6403	89.8048
14	a01	5.4165	92.4231
15	a01	2.5849	95.1449
16	a01	-1.2111	96.4899
17	a01	-4.6037	95.0415
18	a01	-7.5102	93.169
19	a01	-10.6326	90.4316
20	a01	-11.306	86.7155
21	a01	-15.8108	76.0819
22	a01	-16.7856	72.0204
23	a01	-19.3059	72.7159
24	a01	-15.7795	76.925
25	a01	-0.4221	78.0571
26	a01	23.4144	60.9115
27	a01	26.9312	55.7023
28	a01	25.0967	53.3863
29	a01	23.292	53.438
30	a01	21.3542	53.4504
31	a01	18.3154	53.389
32	a01	17.721	55.2558
33	a01	18.3777	56.9888
34	a01	18.7676	58.3697
35	a01	17.9443	59.7615
36	a01	17.5747	60.5845
37	a01	24.7905	60.8893
38	a01	26.3607	60.8351
39	a01	22.4765	72.5462
40	a01	6.4411	71.1583
41	a01	3.2606	71.1681
42	a01	-0.4871	66.5021
43	a01	-11.526	65.7889
44	a01	-23.7315	65.4938
45	a01	-25.8845	65.3214
46	a01	-13.3009	83.3242
1	a03	-0.1395	2.3381
2	a03	2.14	13.8035
3	a03	8.3237	14.4647
4	a03	8.1592	19.1949
5	a03	7.846	28.1967
6	a03	6.8793	29.3272
7	a03	8.6915	40.0884
8	a03	7.644	45.0841
9	a03	1.7005	60.6452
10	a03	-0.4679	60.5639
11	a03	-0.3973	66.6523
12	a03	7.3205	67.5839
13	a03	23.1022	63.6276
14	a03	18.6166	57.9636
15	a03	18.1466	55.8418
16	a03	22.5516	54.4276
17	a03	25.9949	55.106
18	a03	26.1277	58.7058
19	a03	25.8307	60.8861
20	a03	22.5393	66.9871
21	a03	22.5379	73.1136
22	a03	23.3565	78.8319
23	a03	22.281	79.1938
24	a03	19.9388	78.1743
25	a03	24.0456	79.2507
26	a03	13.6844	77.272
27	a03	14.574	79.0147
28	a03	14.6925	76.3348
29	a03	16.2575	74.5574
